zero_absz,zero_frequency,zero_phasez,one_absz,one_frequency,one_phasez,two_absz,two_frequency,two_phasez,three_absz,three_frequency,three_phasez,four_absz,four_frequency,four_phasez,five_absz,five_frequency,five_phasez
996.464,11.0249494866821,0.0033833616168711216,99.9155,11.0249494866821,0.0016222956194452184,1006040,11.0249494866821,-0.013498599174384632,99.9046,11.0249494866821,-0.40631703112158923,40.3618,11.0249494866821,0.8319805551535658,3.86048,21.2831250223644,1.1826880215531426
996.486,11.0488812765652,0.003096934285507272,99.9161,11.0488812765652,0.0019738281450697834,1006060,11.0488812765652,-0.013246726927645119,99.9039,11.0488812765652,-0.40712031795036263,40.3615,11.0488812765652,0.8340661215278419,3.86141,21.3125549208826,1.1848079653951267
996.448,11.0728650781766,0.0040218199471413005,99.9152,11.0728650781766,0.0018862630052399396,1006050,11.0728650781766,-0.013114774747426491,99.904,11.0728650781766,-0.40717073823633415,40.3613,11.0728650781766,0.8357964540691372,3.8601,21.3420255334995,1.1864752725789576
996.455,11.0969011046791,0.004267446953913885,99.9158,11.0969011046791,0.0017427027000919608,1006040,11.0969011046791,-0.013666590399916986,99.9037,11.0969011046791,-0.4083819710152407,40.3619,11.0969011046791,0.8375668936560914,3.85891,21.371537073378,1.188772833337432
996.443,11.1209891429098,0.003899481998724968,99.9141,11.1209891429098,0.0014234964532686763,1006050,11.1209891429098,-0.013367850205535776,99.9042,11.1209891429098,-0.40953819984581474,40.3624,11.1209891429098,0.8391883642163115,3.85994,21.4010891141925,1.1893629798664167
996.434,11.1451294060316,0.003197104496829994,99.9145,11.1451294060316,0.002114328855591764,1006060,11.1451294060316,-0.013504099569217885,99.9025,11.1451294060316,-0.41022574919997173,40.3621,11.1451294060316,0.8409301559135094,3.86153,21.4306822954313,1.189907289771791
996.443,11.1693223203702,0.0034311462969850324,99.9153,11.1693223203702,0.0015678187922841794,1006030,11.1693223203702,-0.013206046924190832,99.904,11.1693223203702,-0.4108731915084695,40.362,11.1693223203702,0.842878212416954,3.86393,21.4603161907689,1.1920329631917264
996.412,11.1935674595998,0.0034296967137633512,99.9156,11.1935674595998,0.0010161807567101741,1006050,11.1935674595998,-0.01297016019993547,99.9048,11.1935674595998,-0.4115120394500404,40.362,11.1935674595998,0.8438465110907252,3.86308,21.489991226531,1.1932075266717448
996.441,11.2178654632089,0.003237669908725256,99.9156,11.2178654632089,0.002007019590141712,1006060,11.2178654632089,-0.012886393770287346,99.9054,11.2178654632089,-0.4131151753608164,40.3623,11.2178654632089,0.8466826521766228,3.86411,21.5197071895545,1.1938148619345832
996.444,11.2422161180348,0.0032549560454043524,99.9154,11.2422161180348,0.001805453037814688,1006060,11.2422161180348,-0.012877856699139895,99.9054,11.2422161180348,-0.4137838171077341,40.3632,11.2422161180348,0.8484129847179178,3.86444,21.5494642930025,1.1963587945449643
